Transaction_ID,Customer_ID,Product_ID,Product_Name,Category,Brand,Price,Rating,Reviews_Count,Stock,Discount_Percentage,Region,Store_ID,Date,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Previous_Sales,Current_Sales,Sales_Growth_Percentage,Demand_Level,Inventory_Risk,Transaction_Quantity,Total_Amount,Payment_Method,Fraud_Flag,Customer_Query,AI_Recommendation
T0020,C1387,129,Apple Product 129,Fashion,Apple,74120,3.6,3546,220,34,Hyderabad,18,10-08-2025,0,36.1,104.32,214.64,3.96,154,235,52.6,Medium,Low,5,370600,UPI,0,How long is delivery?,Apply festive discount
T0021,C1734,132,HP Product 132,Mobiles,HP,58995,4.9,4424,69,5,Delhi,16,12-08-2025,1,26,98.53,202.73,4.99,335,301,-10.15,Medium,Low,1,58995,Debit Card,0,Is this product available?,Restock product
T0022,C3026,129,Samsung Product 129,Home,Samsung,70565,3.8,162,124,40,Chennai,11,13-05-2025,0,18.9,99.44,236.62,7.26,365,448,22.74,High,Low,1,70565,Net Banking,0,Can I replace damaged items?,Apply festive discount
T0023,C3327,134,HP Product 134,Accessories,HP,36518,4.5,612,160,30,Mumbai,10,30-08-2025,0,20.8,94.25,229.92,5.41,126,137,8.73,Low,Low,5,182590,Debit Card,1,How long is delivery?,Restock product
T0024,C7759,133,Apple Product 133,Accessories,Apple,2520,3.8,4374,194,12,Mumbai,4,09-08-2025,0,25,113.77,209.11,4.74,477,526,10.27,High,Low,2,5040,UPI,0,Can I replace damaged items?,Restock product
T0025,C3263,113,Apple Product 113,Electronics,Apple,98558,4.6,4201,63,6,Mumbai,9,04-09-2025,1,25.9,109.86,212.16,5.22,466,515,10.52,High,Low,5,492790,Debit Card,0,What is the refund policy?,Cross-sell recommendation
T0026,C7465,122,Samsung Product 122,Electronics,Samsung,66278,4.3,2586,23,24,Mumbai,18,01-09-2025,0,35.4,97.34,226.28,4.7,412,444,7.77,High,High,4,265112,Debit Card,0,What is the refund policy?,Restock product
T0027,C2064,127,Apple Product 127,Mobiles,Apple,85518,4,3751,168,6,Bangalore,4,22-04-2025,0,27.4,90.3,247.1,5.71,156,213,36.54,Medium,Low,5,427590,Credit Card,0,What is the refund policy?,Restock product
T0028,C6367,102,Dell Product 102,Mobiles,Dell,94401,4.7,4211,125,33,Hyderabad,18,30-01-2025,1,31.7,100.19,230.75,7.11,384,359,-6.51,Medium,Low,2,188802,Debit Card,0,Can I replace damaged items?,Apply festive discount
T0029,C4600,145,HP Product 145,Home,HP,74479,3.9,4935,294,24,Chennai,6,01-08-2025,1,29.8,95.14,238.56,4.52,257,287,11.67,Medium,Low,4,297916,Debit Card,0,What is the refund policy?,Cross-sell recommendation
T0030,C2707,131,Boat Product 131,Home,Boat,29551,4.6,115,114,14,Bangalore,5,09-12-2025,1,36.9,98.06,223.41,4.2,383,455,18.8,High,Low,1,29551,UPI,0,Can I replace damaged items?,Urgent inventory alert
T0031,C7371,104,Nike Product 104,Mobiles,Nike,65102,4.6,226,180,24,Mumbai,19,31-05-2025,0,34.7,99.58,232.23,4.11,447,540,20.81,High,Low,2,130204,Debit Card,0,How long is delivery?,Urgent inventory alert
T0032,C2792,120,Dell Product 120,Electronics,Dell,42892,5,3429,11,17,Bangalore,19,14-02-2025,1,25.6,103.66,239.88,7.67,238,362,52.1,Medium,Critical,1,42892,Net Banking,1,Can I replace damaged items?,Restock product
T0033,C5696,111,Apple Product 111,Accessories,Apple,88065,4,2506,180,38,Delhi,13,20-12-2025,0,33.3,90.44,232.31,3.95,386,471,22.02,High,Low,4,352260,Debit Card,0,Which product is best?,Increase marketing
T0034,C6059,139,Boat Product 139,Home,Boat,57621,4,4002,189,11,Bangalore,4,24-05-2025,0,18.1,104.69,200.76,7.74,259,277,6.95,Medium,Low,2,115242,Net Banking,0,Which product is best?,Restock product
T0035,C6539,141,Sony Product 141,Home,Sony,94351,3.9,3902,239,17,Bangalore,9,28-07-2025,0,24.3,92.4,239.45,5.09,127,180,41.73,Low,Low,4,377404,Debit Card,1,Which product is best?,Restock product
T0036,C1233,149,Boat Product 149,Electronics,Boat,58758,3.7,3958,262,40,Delhi,4,30-12-2025,0,23.1,111.44,244.47,6.44,486,545,12.14,High,Low,3,176274,UPI,0,What is the refund policy?,Restock product
T0037,C4108,100,Samsung Product 100,Accessories,Samsung,55630,3.7,1416,140,33,Mumbai,14,25-12-2025,1,26.4,95.39,208.76,3.56,165,129,-21.82,Low,Low,4,222520,Debit Card,0,Which product is best?,Apply festive discount
T0038,C4871,148,Boat Product 148,Electronics,Boat,6890,4.8,4850,282,24,Hyderabad,5,05-05-2025,1,39,97.91,249.55,3.89,51,147,188.24,Low,Low,1,6890,UPI,0,Can I replace damaged items?,Restock product
T0039,C6830,146,Nike Product 146,Electronics,Nike,76767,3.6,3551,152,19,Chennai,3,23-05-2025,1,37.3,111.23,212.73,7.47,407,557,36.86,High,Low,2,153534,Net Banking,0,What is the refund policy?,Increase marketing
T0040,C7312,111,Nike Product 111,Fashion,Nike,65850,4.1,1547,201,3,Mumbai,12,01-04-2025,1,35.9,111.44,204.56,5,145,113,-22.07,Low,Low,3,197550,Credit Card,0,How long is delivery?,Cross-sell recommendation
T0041,C8352,142,Dell Product 142,Mobiles,Dell,24482,3.8,745,219,36,Chennai,12,21-08-2025,0,33,100.67,235.82,7.07,468,455,-2.78,High,Low,1,24482,Net Banking,0,Is this product available?,Urgent inventory alert
T0042,C3833,127,Dell Product 127,Accessories,Dell,96966,4.1,1558,112,14,Chennai,9,05-03-2025,1,23,107.04,225.04,4.25,258,319,23.64,Medium,Low,2,193932,Debit Card,0,How long is delivery?,Urgent inventory alert
T0043,C1590,132,HP Product 132,Accessories,HP,67507,4.9,4123,22,22,Chennai,13,25-11-2025,1,28.8,94.93,244.48,6.93,407,479,17.69,High,High,3,202521,Net Banking,0,Is this product available?,Restock product
T0044,C4817,121,Sony Product 121,Electronics,Sony,17764,4.3,3408,89,24,Bangalore,16,29-06-2025,0,23,113.01,217.16,6.24,429,547,27.51,High,Low,5,88820,UPI,1,Is this product available?,Cross-sell recommendation
T0045,C5464,146,Sony Product 146,Mobiles,Sony,13840,4.8,4830,258,5,Hyderabad,18,15-12-2025,1,29.8,97.7,211.23,4.61,234,191,-18.38,Low,Low,4,55360,UPI,0,How long is delivery?,Urgent inventory alert
T0046,C5833,140,Boat Product 140,Electronics,Boat,77057,4.8,1310,142,26,Delhi,4,16-01-2025,1,34.5,108.41,247.64,5.69,318,431,35.53,High,Low,1,77057,Debit Card,0,Can I replace damaged items?,Apply festive discount
T0047,C6902,139,Boat Product 139,Fashion,Boat,18553,4.3,4805,71,27,Delhi,12,23-10-2025,0,24.8,111.3,224.07,3.18,251,395,57.37,Medium,Low,4,74212,Net Banking,0,Is this product available?,Restock product
T0048,C1913,138,Nike Product 138,Fashion,Nike,13535,3.6,2814,204,6,Bangalore,5,09-03-2025,0,20.1,113.83,245.17,3.84,205,349,70.24,Medium,Low,4,54140,Credit Card,1,What is the refund policy?,Apply festive discount
T0049,C4676,107,Samsung Product 107,Electronics,Samsung,64792,3.6,2479,289,38,Bangalore,19,06-06-2025,1,35.1,103.02,236.37,6.75,380,425,11.84,High,Low,1,64792,Debit Card,0,Which product is best?,Restock product
T0050,C4571,114,Sony Product 114,Accessories,Sony,36059,3.5,3483,81,33,Chennai,15,02-02-2025,1,23,91.5,241.63,7.4,471,607,28.87,High,Low,5,180295,Credit Card,1,How long is delivery?,Restock product
T0051,C3150,146,Sony Product 146,Mobiles,Sony,86053,5,4021,184,23,Bangalore,14,18-12-2025,0,38.3,105.21,211.19,4.52,186,239,28.49,Medium,Low,1,86053,Debit Card,1,Which product is best?,Increase marketing
T0052,C3506,136,Apple Product 136,Fashion,Apple,15094,3.9,1702,162,37,Chennai,20,05-01-2025,0,33.5,104.62,205.77,6.04,217,240,10.6,Medium,Low,5,75470,Net Banking,1,What is the refund policy?,Restock product
T0053,C2953,129,Nike Product 129,Home,Nike,50709,4.1,1765,223,9,Mumbai,12,10-09-2025,1,27.2,109.94,206.89,7.13,293,359,22.53,Medium,Low,3,152127,Debit Card,0,Is this product available?,Urgent inventory alert
T0054,C6912,136,Boat Product 136,Electronics,Boat,20896,4.8,4358,81,24,Mumbai,1,14-02-2025,0,25,94.19,247.18,5.47,104,123,18.27,Low,Low,4,83584,UPI,0,How long is delivery?,Urgent inventory alert
T0055,C6680,143,Boat Product 143,Electronics,Boat,87872,4.5,3208,167,23,Bangalore,7,14-03-2025,1,39.5,91.68,218.42,4.83,280,361,28.93,Medium,Low,5,439360,Credit Card,1,What is the refund policy?,Urgent inventory alert
T0056,C4754,148,Nike Product 148,Electronics,Nike,37315,4.1,2201,100,20,Delhi,9,03-05-2025,0,34.9,105.98,203.49,7.97,397,519,30.73,High,Low,1,37315,Net Banking,1,Is this product available?,Urgent inventory alert
T0057,C7840,112,Dell Product 112,Fashion,Dell,50671,3.8,4796,178,36,Delhi,7,10-06-2025,1,38.8,92.55,210.62,4.83,318,273,-14.15,Medium,Low,2,101342,Debit Card,1,Can I replace damaged items?,Increase marketing
T0058,C4906,140,Apple Product 140,Fashion,Apple,41559,4.1,407,153,40,Chennai,18,30-01-2025,0,28.9,97.18,213.68,7.77,494,553,11.94,High,Low,1,41559,Credit Card,0,Can I replace damaged items?,Urgent inventory alert
T0059,C8430,109,Samsung Product 109,Home,Samsung,1675,4.3,1027,293,28,Chennai,4,22-12-2025,1,21.7,99.68,224,5.14,140,177,26.43,Low,Low,3,5025,Net Banking,1,Can I replace damaged items?,Increase marketing
T0060,C8579,141,HP Product 141,Home,HP,51300,4.8,1808,92,35,Hyderabad,12,29-09-2025,1,25.4,96.07,217.47,7.64,383,504,31.59,High,Low,3,153900,UPI,0,What is the refund policy?,Increase marketing
T0061,C2229,112,Apple Product 112,Electronics,Apple,72641,4.7,4188,126,2,Delhi,7,25-11-2025,1,21.4,108.4,220.94,5.5,486,576,18.52,High,Low,4,290564,UPI,0,Is this product available?,Urgent inventory alert
T0062,C1683,136,Dell Product 136,Accessories,Dell,4293,3.7,3574,120,17,Hyderabad,6,07-07-2025,1,18.6,99.08,244.64,4.99,439,445,1.37,High,Low,4,17172,Net Banking,0,Is this product available?,Increase marketing
T0063,C3360,135,Dell Product 135,Home,Dell,2541,4.9,2273,201,10,Chennai,13,13-10-2025,0,24.2,96.52,231.15,7.96,375,490,30.67,High,Low,1,2541,Credit Card,1,What is the refund policy?,Urgent inventory alert
T0064,C9964,146,HP Product 146,Fashion,HP,90329,4.3,3709,252,8,Hyderabad,7,01-02-2025,1,32.2,107.32,215.97,4.6,350,319,-8.86,Medium,Low,5,451645,UPI,0,Is this product available?,Urgent inventory alert
T0065,C2294,149,Dell Product 149,Electronics,Dell,94697,3.9,3046,286,1,Hyderabad,15,06-03-2025,1,25.2,98.71,231.76,6.96,343,475,38.48,High,Low,3,284091,UPI,0,How long is delivery?,Increase marketing
T0066,C2608,129,Samsung Product 129,Fashion,Samsung,38075,4,4307,14,21,Hyderabad,9,17-10-2025,1,26.1,113.4,223.5,4.85,91,238,161.54,Medium,Critical,2,76150,UPI,0,How long is delivery?,Restock product
T0067,C4990,142,Boat Product 142,Mobiles,Boat,52686,3.8,4280,130,12,Bangalore,17,01-06-2025,0,20.9,93.07,214.78,6.5,160,282,76.25,Medium,Low,3,158058,Debit Card,0,Which product is best?,Apply festive discount
T0068,C4266,141,Boat Product 141,Accessories,Boat,73868,4.9,190,18,21,Bangalore,17,24-07-2025,1,22.8,109.93,212.93,5.83,329,405,23.1,High,Critical,4,295472,Net Banking,1,How long is delivery?,Increase marketing
T0069,C9884,136,Dell Product 136,Mobiles,Dell,92511,4.1,201,101,4,Delhi,7,25-09-2025,1,29,102.32,202.09,3.85,241,196,-18.67,Low,Low,3,277533,Credit Card,0,Is this product available?,Restock product
T0070,C3360,139,Boat Product 139,Mobiles,Boat,84047,3.6,4475,272,24,Hyderabad,17,01-12-2025,0,30.4,111.17,248.8,5.78,108,121,12.04,Low,Low,4,336188,Net Banking,0,What is the refund policy?,Cross-sell recommendation
T0071,C4485,111,Apple Product 111,Fashion,Apple,42193,4.7,1254,235,32,Mumbai,17,22-07-2025,1,28.6,105.05,222.21,7.3,142,169,19.01,Low,Low,4,168772,Credit Card,1,Is this product available?,Cross-sell recommendation
T0072,C3141,116,Samsung Product 116,Accessories,Samsung,88197,3.8,2437,16,1,Delhi,13,14-10-2025,0,23.8,92.72,202.09,4.04,335,337,0.6,Medium,Critical,4,352788,Net Banking,1,What is the refund policy?,Restock product
T0073,C5165,140,Nike Product 140,Home,Nike,28348,5,370,16,21,Chennai,18,31-01-2025,1,20.9,113.29,211.52,7.31,85,201,136.47,Medium,Critical,2,56696,Debit Card,0,What is the refund policy?,Restock product
T0074,C6711,112,Apple Product 112,Accessories,Apple,26088,3.6,4535,185,17,Hyderabad,17,16-11-2025,1,36.1,114.04,220.11,3.53,415,466,12.29,High,Low,1,26088,Net Banking,0,Can I replace damaged items?,Urgent inventory alert
T0075,C7282,130,Boat Product 130,Accessories,Boat,72749,4.7,3980,113,17,Chennai,18,25-02-2025,0,36.8,93.9,229.56,6.74,187,201,7.49,Medium,Low,5,363745,UPI,1,Which product is best?,Apply festive discount
T0076,C2671,145,Apple Product 145,Fashion,Apple,64183,4.7,501,67,15,Hyderabad,1,05-09-2025,1,22.6,102.54,230.52,4.86,195,316,62.05,Medium,Low,1,64183,Debit Card,0,Is this product available?,Urgent inventory alert
T0077,C1487,135,Sony Product 135,Accessories,Sony,41294,4,3136,111,37,Chennai,14,17-02-2025,1,24,99.92,209,6.11,200,308,54,Medium,Low,1,41294,Debit Card,0,Which product is best?,Urgent inventory alert
T0078,C3374,142,Dell Product 142,Mobiles,Dell,63675,4.1,1695,13,24,Chennai,13,13-05-2025,1,37.2,110.8,248.56,3.69,359,476,32.59,High,Critical,5,318375,Net Banking,1,Can I replace damaged items?,Urgent inventory alert
T0079,C5086,125,Sony Product 125,Mobiles,Sony,41175,3.5,2981,251,1,Chennai,3,10-01-2025,1,27.1,100.49,234.09,3.59,161,309,91.93,Medium,Low,3,123525,Credit Card,0,Can I replace damaged items?,Increase marketing
T0080,C6542,107,Nike Product 107,Fashion,Nike,64037,4.2,459,35,15,Mumbai,4,30-01-2025,1,21.7,100.44,222.51,6.33,408,486,19.12,High,High,4,256148,Debit Card,0,Which product is best?,Apply festive discount
T0081,C8647,116,Samsung Product 116,Mobiles,Samsung,4490,4.8,3746,6,22,Delhi,6,06-12-2025,1,30,91.32,235.3,7.76,335,291,-13.13,Medium,Critical,3,13470,UPI,1,Can I replace damaged items?,Apply festive discount
T0082,C9549,123,Sony Product 123,Electronics,Sony,84330,4.9,3542,54,26,Bangalore,18,17-12-2025,0,29.2,99.33,247.36,7.31,231,367,58.87,Medium,Low,5,421650,Credit Card,0,What is the refund policy?,Apply festive discount
T0083,C6099,102,Sony Product 102,Home,Sony,80555,4.5,3452,215,12,Hyderabad,7,29-08-2025,1,36.8,90.27,233.77,7.81,386,430,11.4,High,Low,1,80555,Net Banking,0,How long is delivery?,Apply festive discount
T0084,C4971,117,Samsung Product 117,Fashion,Samsung,76017,4.8,3028,211,32,Delhi,2,12-09-2025,0,19.9,103.6,223.37,7.13,490,620,26.53,High,Low,5,380085,Credit Card,1,How long is delivery?,Restock product
T0085,C7957,135,HP Product 135,Mobiles,HP,5854,3.7,2481,245,14,Chennai,13,22-07-2025,0,31,92.05,213.31,5.8,139,222,59.71,Medium,Low,1,5854,Credit Card,0,Which product is best?,Increase marketing
T0086,C8513,110,Apple Product 110,Accessories,Apple,10829,4.7,2818,51,4,Mumbai,6,15-12-2025,0,19,91.85,230.42,5.23,306,453,48.04,High,Low,1,10829,Credit Card,0,Which product is best?,Cross-sell recommendation
T0087,C9730,134,Nike Product 134,Fashion,Nike,7832,4.4,981,137,22,Bangalore,11,18-04-2025,1,31.7,102.01,243.97,3.15,384,417,8.59,High,Low,2,15664,Net Banking,0,What is the refund policy?,Cross-sell recommendation
T0088,C1581,109,HP Product 109,Mobiles,HP,34689,3.8,3291,45,3,Mumbai,10,25-10-2025,0,35.4,90.72,204.15,7.92,158,263,66.46,Medium,High,3,104067,UPI,1,How long is delivery?,Restock product
T0089,C7253,105,Boat Product 105,Accessories,Boat,89096,3.9,3755,190,20,Mumbai,10,28-11-2025,0,39.5,95.62,247.05,7.65,429,527,22.84,High,Low,4,356384,Credit Card,0,Which product is best?,Restock product
T0090,C5910,143,Dell Product 143,Home,Dell,73584,4.7,4935,244,14,Mumbai,14,22-12-2025,0,37.5,97.41,218.98,5.91,193,184,-4.66,Low,Low,5,367920,Credit Card,0,Which product is best?,Urgent inventory alert
T0091,C8958,124,Samsung Product 124,Accessories,Samsung,19116,4.5,2545,28,13,Mumbai,4,15-01-2025,0,24,104.95,222.87,5.52,175,145,-17.14,Low,High,5,95580,UPI,0,How long is delivery?,Increase marketing
T0092,C7546,136,Nike Product 136,Accessories,Nike,51088,3.5,975,267,26,Delhi,11,30-03-2025,0,27.4,97.73,235.77,4.7,83,227,173.49,Medium,Low,1,51088,Debit Card,1,What is the refund policy?,Urgent inventory alert
T0093,C6596,124,Sony Product 124,Mobiles,Sony,40801,3.7,309,179,24,Mumbai,1,04-09-2025,1,29.9,100.65,237.28,7.32,270,232,-14.07,Medium,Low,2,81602,UPI,1,What is the refund policy?,Cross-sell recommendation
T0094,C8233,117,Nike Product 117,Home,Nike,28368,5,58,142,17,Hyderabad,19,15-04-2025,0,30.2,109.95,217.08,7.42,199,149,-25.13,Low,Low,5,141840,UPI,0,Is this product available?,Increase marketing
T0095,C4522,129,Sony Product 129,Home,Sony,8074,4.7,204,278,28,Hyderabad,12,22-03-2025,1,36,99.16,229.12,3.09,67,36,-46.27,Low,Low,4,32296,Debit Card,0,Can I replace damaged items?,Cross-sell recommendation
T0096,C2337,144,Samsung Product 144,Mobiles,Samsung,47344,3.5,215,255,24,Delhi,8,12-01-2025,1,31.7,108.11,202.46,7.18,434,534,23.04,High,Low,2,94688,Net Banking,0,Can I replace damaged items?,Apply festive discount
T0097,C9222,126,Apple Product 126,Electronics,Apple,20253,4.8,4495,191,30,Hyderabad,14,17-09-2025,1,19.9,111.42,201.49,4.59,219,349,59.36,Medium,Low,4,81012,Net Banking,0,How long is delivery?,Restock product
T0098,C2850,105,Samsung Product 105,Mobiles,Samsung,59707,4.1,2169,236,8,Hyderabad,19,09-07-2025,0,29.1,94.53,204.82,3.53,213,202,-5.16,Medium,Low,5,298535,Net Banking,0,How long is delivery?,Apply festive discount
T0099,C1524,131,Dell Product 131,Accessories,Dell,93282,4.9,4198,103,13,Delhi,17,11-10-2025,0,26.5,108.42,230.25,5.34,127,213,67.72,Medium,Low,4,373128,Net Banking,0,Which product is best?,Cross-sell recommendation
T0100,C3136,126,Boat Product 126,Electronics,Boat,78805,4.1,696,288,39,Hyderabad,4,25-12-2025,1,19.5,112.67,221.64,7.62,334,430,28.74,High,Low,4,315220,Debit Card,0,Can I replace damaged items?,Urgent inventory alert
T0101,C7179,132,Samsung Product 132,Mobiles,Samsung,30222,3.8,1769,274,21,Hyderabad,1,08-07-2025,0,34.4,112.14,222.05,6.91,253,344,35.97,Medium,Low,2,60444,UPI,0,Is this product available?,Apply festive discount
T0102,C3351,141,HP Product 141,Mobiles,HP,56326,4.3,2667,111,2,Mumbai,11,28-09-2025,1,31.8,91.2,214.87,7.24,368,417,13.32,High,Low,5,281630,Credit Card,0,Which product is best?,Restock product
T0103,C6072,124,Sony Product 124,Electronics,Sony,21626,4,4293,235,18,Delhi,20,04-10-2025,1,25.7,101.51,205.19,6.02,309,380,22.98,Medium,Low,2,43252,Credit Card,0,Is this product available?,Restock product
T0104,C7032,139,HP Product 139,Electronics,HP,50774,3.9,4038,69,37,Bangalore,5,13-06-2025,0,33.4,105.53,211.37,4.59,377,514,36.34,High,Low,4,203096,UPI,1,How long is delivery?,Urgent inventory alert
T0105,C7392,113,Samsung Product 113,Electronics,Samsung,54752,4.3,2823,109,35,Mumbai,6,13-08-2025,0,35.3,95.97,210.14,4.46,70,100,42.86,Low,Low,4,219008,Debit Card,0,Which product is best?,Urgent inventory alert
T0106,C6174,102,Nike Product 102,Fashion,Nike,31926,4.5,3044,120,21,Mumbai,13,07-10-2025,0,26.9,102.59,223.22,4.39,74,143,93.24,Low,Low,3,95778,UPI,0,Can I replace damaged items?,Cross-sell recommendation
T0107,C2169,106,Samsung Product 106,Mobiles,Samsung,56885,4,1682,73,31,Mumbai,20,12-12-2025,0,20.9,112.84,242.74,3.51,401,546,36.16,High,Low,2,113770,Net Banking,1,Which product is best?,Urgent inventory alert
T0108,C6544,134,Nike Product 134,Mobiles,Nike,95691,3.7,4660,291,34,Delhi,10,10-10-2025,1,37.8,94.46,201.77,7.36,217,255,17.51,Medium,Low,3,287073,Credit Card,0,What is the refund policy?,Cross-sell recommendation
T0109,C7281,114,Boat Product 114,Electronics,Boat,51080,3.8,48,264,24,Delhi,20,01-03-2025,0,20.1,90.64,242.65,5.19,291,351,20.62,Medium,Low,1,51080,Credit Card,0,Which product is best?,Cross-sell recommendation
T0110,C9963,145,Samsung Product 145,Fashion,Samsung,84068,4.5,2239,209,6,Hyderabad,10,01-01-2025,1,20,103.67,244.82,6.96,220,352,60,Medium,Low,4,336272,Net Banking,0,Which product is best?,Urgent inventory alert
T0111,C5154,118,Dell Product 118,Mobiles,Dell,18751,3.8,26,60,12,Bangalore,10,26-04-2025,1,31.2,93.35,219.62,3.34,342,329,-3.8,Medium,Low,5,93755,Debit Card,0,Is this product available?,Restock product
T0112,C5286,142,Dell Product 142,Electronics,Dell,34576,3.7,4191,69,13,Bangalore,6,26-08-2025,1,26.9,96.43,218.07,6.16,382,503,31.68,High,Low,1,34576,Debit Card,0,How long is delivery?,Urgent inventory alert
T0113,C1645,146,Sony Product 146,Electronics,Sony,63875,4.8,4534,200,32,Delhi,13,17-07-2025,0,38,106.6,213,6.65,497,454,-8.65,High,Low,5,319375,Credit Card,0,Can I replace damaged items?,Urgent inventory alert
T0114,C2302,126,Apple Product 126,Fashion,Apple,31389,3.5,954,215,15,Mumbai,1,09-03-2025,0,22.4,94.52,243.23,6.32,155,193,24.52,Low,Low,4,125556,UPI,1,Can I replace damaged items?,Cross-sell recommendation
T0115,C8575,141,Boat Product 141,Mobiles,Boat,18975,3.9,2850,207,9,Delhi,11,09-12-2025,0,39.2,107.56,202.76,4.36,162,304,87.65,Medium,Low,2,37950,Net Banking,0,Which product is best?,Restock product
T0116,C9058,108,Dell Product 108,Electronics,Dell,22862,3.8,3166,108,35,Hyderabad,16,14-02-2025,1,39.7,96.64,205.52,5.08,422,475,12.56,High,Low,4,91448,Credit Card,0,How long is delivery?,Cross-sell recommendation
T0117,C9763,138,Sony Product 138,Electronics,Sony,39213,4.2,241,259,6,Delhi,9,22-09-2025,0,38.2,104.56,222.12,3.99,490,636,29.8,High,Low,3,117639,Net Banking,0,What is the refund policy?,Apply festive discount
